3,8,8,8,8,8,8,8,8,8,8,8,8,5,3,8,8,8,8,8,8,8,8,8,8,8,8,5,
16,27,29,29,29,29,29,29,29,29,29,29,29,16,16,29,29,29,29,29,29,29,29,29,29,29,27,16,
16,29,0,1,1,2,29,0,1,1,1,2,29,16,16,29,0,1,1,1,2,29,0,1,1,2,29,16,
16,29,10,11,11,12,29,10,11,11,11,12,29,16,16,29,10,11,11,11,12,29,10,11,11,12,29,16,
16,29,20,21,21,22,29,20,21,21,21,22,29,23,25,29,20,21,21,21,22,29,20,21,21,22,29,16,
16,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,16,
16,29,0,1,1,2,29,3,5,29,3,8,8,8,8,8,8,5,29,3,5,29,0,1,1,2,29,16,
16,29,20,21,21,22,29,16,16,29,23,8,8,5,3,8,8,25,29,16,16,29,20,21,21,22,29,16,
26,29,29,29,29,29,29,16,16,29,29,29,29,16,16,29,29,29,29,16,16,29,29,29,29,29,29,26,
1,1,1,1,1,2,29,16,23,8,8,5,29,16,16,29,3,8,8,25,16,29,0,1,1,1,1,1,
11,11,11,11,11,12,29,16,3,8,8,25,29,23,25,29,23,8,8,5,16,29,10,11,11,11,11,11,
11,11,11,11,11,12,29,16,16,29,29,29,29,29,29,29,29,29,29,16,16,29,10,11,11,11,11,11,
11,11,11,11,11,12,29,16,16,29,3,8,9,-1,-1,7,8,5,29,16,16,29,10,11,11,11,11,11,
21,21,21,21,21,22,29,23,25,29,16,-1,-1,-1,-1,-1,-1,16,29,23,25,29,20,21,21,21,21,21,
6,27,29,29,29,29,29,29,29,29,16,-1,-1,-1,-1,-1,-1,16,29,29,29,29,29,29,29,29,18,6,
23,8,8,8,8,8,8,8,8,8,24,8,8,8,8,8,8,24,8,8,8,8,8,8,8,8,8,25
