3, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 4, 8, 5, 
16, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 16, 27, 16, 
16, 29, 0, 1, 1, 2, 29, 0, 1, 1, 1, 2, 29, 16, 29, 16, 
16, 29, 10, 11, 11, 12, 29, 10, 11, 11, 11, 12, 29, 16, 29, 16, 
16, 29, 20, 21, 21, 22, 29, 20, 21, 21, 21, 22, 29, 26, 29, 16, 
16, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 16, 
16, 29, 0, 1, 1, 2, 29, 3, 5, 29, 3, 8, 8, 8, 8, 15, 
16, 29, 20, 21, 21, 22, 29, 16, 16, 29, 23, 8, 8, 4, 8, 15, 
26, 29, 29, 29, 29, 29, 29, 16, 16, 29, 29, 29, 29, 16, 27, 16, 
8, 8, 8, 5, 29, 6, 29, 16, 23, 8, 8, 5, 29, 16, 29, 16, 
18, 18, 18, 16, 29, 16, 29, 16, 3, 8, 8, 25, 29, 26, 29, 16, 
18, 18, 18, -1, 29, 16, 29, 16, 16, 29, 29, 29, 29, 29, 29, 16, 
18, 18, 18, 16, 29, 16, 29, 16, 16, 29, 0, 1, 1, 2, 29, 16, 
8, 8, 8, 25, 29, 26, 29, 23, 25, 29, 20, 21, 21, 22, 29, 16, 
6, 27, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 16, 
23, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 25, 
